V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	V161101_doc	V161104_doc	V161106_doc	V161069_doc	V161072_doc	V161075_doc	V161078_doc	V161098_doc	party_id
12	300023	86.0	1.0	2	2.0		0.0						very smart and educated.   she has always been in political arenas.   i just think she is well qualified. .  			he is just so conceited and thinks he is so powerful and he knows little about politics and governemnt. .  	they are better than the republicans. .  			they have donald rump as their candidate. .  			they have donald rump as their candidate. .  	very smart and educated.   she has always been in political arenas.   i just think she is well qualified. .  			he is just so conceited and thinks he is so powerful and he knows little about politics and governemnt. .  	they are better than the republicans. .  	1.0
13	300026	30.0	0.0	3	4.0	3.0	0.5	4.0	5.5	5.5	2.5	5.5	shes not donald trump.  democrative party traditionally has beenmore open programs (economic distribution).  	she's not trustworthy.  has lied under oath.  	because he's not hillary clinton.  traditionally speaki republicans are ore fisscally conservative.  	view on immiration, hard line towards muslims in general, lack of experience in office, being a frea monger.  	the opposite of what i just said - .  	lot of backers are multi national corporations and may not have the interests of the americcan people.  	fiscally responsible.  for the most part they believe in perosnal responsiblility.  	less likely to look favorably toward  social injustces.  	lot of backers are multi national corporations and may not have the interests of the americcan people.  	fiscally responsible.  for the most part they believe in perosnal responsiblility.  	less likely to look favorably toward  social injustces.  	shes not donald trump.  democrative party traditionally has beenmore open programs (economic distribution).  	she's not trustworthy.  has lied under oath.  	because he's not hillary clinton.  traditionally speaki republicans are ore fisscally conservative.  	view on immiration, hard line towards muslims in general, lack of experience in office, being a frea monger.  	the opposite of what i just said - .  	1.0
14	300030	67.0	0.0	2	1.0	2.0	0.0	5.0	3.5	6.0	5.5	5.5		she's a crook.  her husband's a crook and draft dodger	he's not politically correct.   he says what he thinks be it right or wrong sometimes.  he's trying to run the plotical establishement out of dc, which we need.  			they are not for the middle class anymore like they used to be, and the workers, used to be strong party for the workers but they dont practice what they preach anymore.  	they want to help minorities, talking about doing more and the economy.   defense, dealiing with our defense, taxes and better health care.  	too many rich republicans that dont care about the average guy, the middle class.  	they are not for the middle class anymore like they used to be, and the workers, used to be strong party for the workers but they dont practice what they preach anymore.  	they want to help minorities, talking about doing more and the economy.   defense, dealiing with our defense, taxes and better health care.  	too many rich republicans that dont care about the average guy, the middle class.  		she's a crook.  her husband's a crook and draft dodger	he's not politically correct.   he says what he thinks be it right or wrong sometimes.  he's trying to run the plotical establishement out of dc, which we need.  			0.0
15	300034	62.0	1.0	3	0.0	3.0	0.5	7.0	6.5	4.5	3.5	6.5	her policies.  her experience and she is not donald trump. .  			where do i start ? i think he is unknowledgeable about foriegn policy.  he does not tell the truth.  his personality is not condusive to being a president.  .  	i think the party is socially responsible.  they strive to include all people.  .   my family was always a democratic family and i just always thinkd they're better	they don't take into account that they're are republicans that are faithful. 	i like their financial conservatism. .  	they aren't as responsive to pverty and racial issues. .  	they don't take into account that they're are republicans that are faithful. 	i like their financial conservatism. .  	they aren't as responsive to pverty and racial issues. .  	her policies.  her experience and she is not donald trump. .  			where do i start ? i think he is unknowledgeable about foriegn policy.  he does not tell the truth.  his personality is not condusive to being a president.  .  	i think the party is socially responsible.  they strive to include all people.  .   my family was always a democratic family and i just always thinkd they're better	0.0
16	300038	51.0	0.0	1	0.0	1.0	0.0	1.5	6.0	5.5	2.0	3.5	democrat	i kind of dont trust her			it helps out poor people			budget cuts			budget cuts	democrat	i kind of dont trust her			it helps out poor people	0.0
17	300039	46.0	0.0	3	0.0	3.0	0.5	1.5	4.0	6.5	3.5	4.5	she has experience, she is rational. . . the alternative is not.  i think she'd be a good president.  i mean. .  i have a [redacted family details] so i think having a woman president would be a positive role model			i guess. . . he is untrustworthy, he incites and hatred and violence.  he is unfit.  he is unknowledgable of the job	in general i think they are more thoughtful. . .  definitely on the side of disadvantaged people.  definitely on the side of human rights for minorities, gay people and human rights.  the environment. .  their positions on the environment, on science.  i think in general they're more thoughtful in their approach to foreing policy or really (any) most issues	sometimes they are too wishy-washy.  kind of like any political party they are too beholden to some of their special interest as opposed to looking at something objectively	in some cases i think there is overregulation and in some issues in foreign policy and tax reform  - i would agree with some of their positions	their support of guns.  their religiosity.  in general they're attacting the safety net for lower middle class people.  they are against gay marriage and gay rights.  their tendency toward promoting war as sort of a first response	sometimes they are too wishy-washy.  kind of like any political party they are too beholden to some of their special interest as opposed to looking at something objectively	in some cases i think there is overregulation and in some issues in foreign policy and tax reform  - i would agree with some of their positions	their support of guns.  their religiosity.  in general they're attacting the safety net for lower middle class people.  they are against gay marriage and gay rights.  their tendency toward promoting war as sort of a first response	she has experience, she is rational. . . the alternative is not.  i think she'd be a good president.  i mean. .  i have a [redacted family details] so i think having a woman president would be a positive role model			i guess. . . he is untrustworthy, he incites and hatred and violence.  he is unfit.  he is unknowledgable of the job	in general i think they are more thoughtful. . .  definitely on the side of disadvantaged people.  definitely on the side of human rights for minorities, gay people and human rights.  the environment. .  their positions on the environment, on science.  i think in general they're more thoughtful in their approach to foreing policy or really (any) most issues	0.0
18	300040	70.0	0.0	3	6.0	2.0	0.0	4.0	4.5	6.0	3.5	5.5		i question her veracity in history/	his forthrightness, his ability to tell what really should be going on which people don't like/probably another added thing for him and it is important is that he has a veyr good business head, which people don't like		supposed openess, don't think that's totally tru anymore but that's what they are supposed to be/	don't like their economic poilicies/	conservativeness/like their economic policies/	they're unwillingness to moderate so they can work with the democrates cause there's a real problem going on there/	don't like their economic poilicies/	conservativeness/like their economic policies/	they're unwillingness to moderate so they can work with the democrates cause there's a real problem going on there/		i question her veracity in history/	his forthrightness, his ability to tell what really should be going on which people don't like/probably another added thing for him and it is important is that he has a veyr good business head, which people don't like		supposed openess, don't think that's totally tru anymore but that's what they are supposed to be/	2.0
19	300041	30.0	1.0	3	0.0	2.0	0.5	3.5	6.0	5.5	2.0	5.5	stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy			the way he speaks aboit woman immigrants has no concept of foreighn policy	handling socisal issues/education/immigration /gun issues/foreighn policy		with more moderate republicans they have stong backgrounds in the ecomony and foreighn policy	social issues relatiing to women/eduvation/healthcare		with more moderate republicans they have stong backgrounds in the ecomony and foreighn policy	social issues relatiing to women/eduvation/healthcare	stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy			the way he speaks aboit woman immigrants has no concept of foreighn policy	handling socisal issues/education/immigration /gun issues/foreighn policy	0.0
20	300042	67.0	1.0	2	5.0	1.0	0.0	6.0	7.0	6.5	2.5	6.0		benghazi.  		i don't think he knows enough about national defence and i don't think e's very educated in the military		basically i feel they are in it for the money.  	they are for the people and usually handle the military better.  	their candidate for president	basically i feel they are in it for the money.  	they are for the people and usually handle the military better.  	their candidate for president		benghazi.  		i don't think he knows enough about national defence and i don't think e's very educated in the military		2.0
21	300045	66.0	1.0	1	5.0	2.0	0.0	3.5	6.0	6.5	3.0	3.5		everything	.   likes his out looks	trash talk, should keep his mouth shut because it hurts his campaign.  		dont like the ways some of them feel with our constitutional rights	like conservative views, like 2nd amendment views and strong feelings about abortion issues		dont like the ways some of them feel with our constitutional rights	like conservative views, like 2nd amendment views and strong feelings about abortion issues			everything	.   likes his out looks	trash talk, should keep his mouth shut because it hurts his campaign.  		2.0
22	300046	32.0	1.0	2	5.0	2.0	0.5	6.0	4.5	6.0	3.0	5.0		think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/	like his ideas and principles/a strong business and how to run things/immigration/foreign and military/		main idea looking out for people that are not in great situation/	they go overboard in trying to help people that's a strain on our economy/	policies in general the way they would run the country they way they look at economy would be the biggest reason/		they go overboard in trying to help people that's a strain on our economy/	policies in general the way they would run the country they way they look at economy would be the biggest reason/			think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/	like his ideas and principles/a strong business and how to run things/immigration/foreign and military/		main idea looking out for people that are not in great situation/	2.0
23	300047	56.0	1.0	2	4.0	2.0	0.0	6.0	5.0	5.0	4.0	4.5	her family values. ''			everything about him. .  				the nominee. .  			the nominee. .  	her family values. ''			everything about him. .  		1.0
24	300049	65.0	1.0	3	4.0	1.0	0.0	3.5	6.0	6.0	2.5	4.5		all the lies and power she has is to much and untruths they have gotten by with	change in the government due to the past there needs to be changes	he's rude and crude									all the lies and power she has is to much and untruths they have gotten by with	change in the government due to the past there needs to be changes	he's rude and crude		1.0
25	300050	61.0	0.0	1	4.0	2.0	0.0	3.0	4.5	6.5	4.0	5.0		i don't think she's truthful and i think she's full of greed and out for herself.  i don't think she's for the people she just wants votes.  i don't like her standards on abortion, i don't think term should go that far.  ben gahzy there supposed to be fundraising for haiti and  people still living in tents.  i don't see the concerns for the welfare of people the only concern is their vote.  	secuing the borders and not letting refugees come.  i think he will get jobs back from overseas.  he's not a politician.  	if another candidiate was running		their use of peoples vote to put themselves in office to keep a job the promises they make and dont keep.  	i think their values lean towards more the values and well being of the people.  	they make promises they dont keep and they do what they can to get the vote to keep their jobs to stay in their playhouse.  	their use of peoples vote to put themselves in office to keep a job the promises they make and dont keep.  	i think their values lean towards more the values and well being of the people.  	they make promises they dont keep and they do what they can to get the vote to keep their jobs to stay in their playhouse.  		i don't think she's truthful and i think she's full of greed and out for herself.  i don't think she's for the people she just wants votes.  i don't like her standards on abortion, i don't think term should go that far.  ben gahzy there supposed to be fundraising for haiti and  people still living in tents.  i don't see the concerns for the welfare of people the only concern is their vote.  	secuing the borders and not letting refugees come.  i think he will get jobs back from overseas.  he's not a politician.  	if another candidiate was running		1.0
26	300051	34.0	0.0	1	4.0	0.0	0.0	4.5	5.0	6.5	3.0	4.5		pure ignorance. .  how i feel she was president for 8 years already in theory and she had no bearing on what he did.  nothing good came out of it. .  	i believe we should have someone else in office that is a working man who stands up for the working person in the country.  he wants to try to better the economy and bring some work back to us. .  										pure ignorance. .  how i feel she was president for 8 years already in theory and she had no bearing on what he did.  nothing good came out of it. .  	i believe we should have someone else in office that is a working man who stands up for the working person in the country.  he wants to try to better the economy and bring some work back to us. .  			1.0
27	300053	68.0		3	3.0	1.0	0.0	5.5	6.5	6.0	1.5	6.0	he seems like she is more carying and better listener than the other candidate.  	i dont trust her because of the emails, mainly because of the emails that have come up and shed had access to.  	he is advocating chang which is needed in many areas.  	someo fhis statements that have been made either by him or by the press rearidng things he said about females, about abortions and uhm, possibly his spins in immigration.  uhm and lastly the waauy he speaks uhm. . .  and the way he speaks and not being a good listener.  		trust i dont trust a lot of the leader.   the way the handled the war in rak, and the health in support of obama care.  	the party is advocating chang in many areas.  		trust i dont trust a lot of the leader.   the way the handled the war in rak, and the health in support of obama care.  	the party is advocating chang in many areas.  		he seems like she is more carying and better listener than the other candidate.  	i dont trust her because of the emails, mainly because of the emails that have come up and shed had access to.  	he is advocating chang which is needed in many areas.  	someo fhis statements that have been made either by him or by the press rearidng things he said about females, about abortions and uhm, possibly his spins in immigration.  uhm and lastly the waauy he speaks uhm. . .  and the way he speaks and not being a good listener.  		1.0
28	300056	25.0	1.0	1	3.0	2.0	0.0	4.0	5.5	6.5	4.0	5.5																	1.0
29	300058	73.0	0.0	3	2.0	3.0	0.5	4.0	5.5	6.0	3.0	6.0	experience.   her efforts during her career as first lady, secretary of state and senator.  			dishonesty.   his lying.  lack of experience.  	priorities not just being for big business.   progressive and positive on social issues.  	sometimes not progressive enough.  		in general their wrong policies in respect to big business, in general not trustworthy.  	sometimes not progressive enough.  		in general their wrong policies in respect to big business, in general not trustworthy.  	experience.   her efforts during her career as first lady, secretary of state and senator.  			dishonesty.   his lying.  lack of experience.  	priorities not just being for big business.   progressive and positive on social issues.  	1.0
30	300059	67.0	1.0	1	3.0	2.0	0.0	5.0	6.0	6.5	4.5	4.5		that she is not honest and truthful.  	that he is not a politician.  	his general demeanor.  		so many things.  just the way the country is moving.  	i think just that they are trying to change things.  	the person they choose for their canididate	so many things.  just the way the country is moving.  	i think just that they are trying to change things.  	the person they choose for their canididate		that she is not honest and truthful.  	that he is not a politician.  	his general demeanor.  		1.0
31	300062	35.0	1.0	3	1.0	2.0	0.0	7.0	6.5	6.0	2.0	6.5	she is experienced/	her views on the working class/ views on sex offenders/her ethics/	his lack of experience is positive in the situation and does not play the political game/	how he interacts with people in general, too aggressive/ doesn't take accountability/	more generalized for people's welfare/	all or nothing on ideas/	managing the budget/right to bear arms/	too conservative	all or nothing on ideas/	managing the budget/right to bear arms/	too conservative	she is experienced/	her views on the working class/ views on sex offenders/her ethics/	his lack of experience is positive in the situation and does not play the political game/	how he interacts with people in general, too aggressive/ doesn't take accountability/	more generalized for people's welfare/	0.0
32	300064	64.0	0.0	3	6.0		0.0							the only time you can tell when she is lying is when he mouth is open, a major part in where we are at	he would be the best for the economy,			doesnt matter what trump may say they are going to twist it and call him a sexist, racist, islamic phobic liar, s		almost feel like it is a bunch of democats that they have putting the name behind them, everything that obama has wanted to do they have allowed	doesnt matter what trump may say they are going to twist it and call him a sexist, racist, islamic phobic liar, s		almost feel like it is a bunch of democats that they have putting the name behind them, everything that obama has wanted to do they have allowed		the only time you can tell when she is lying is when he mouth is open, a major part in where we are at	he would be the best for the economy,			2.0
33	300070	73.0	1.0	2	6.0	2.0	0.0	3.5	6.5	6.5	3.0	2.0		she is not trustworthy or honest.  	his leadership and he is not a politician.  			they become too liberal and handout to everyone, and they are not taking care of the americans at home. .  	they are trying to get some conservative leaders appointed to the surperme court, bring direction back to leardership and get the economy going.  		they become too liberal and handout to everyone, and they are not taking care of the americans at home. .  	they are trying to get some conservative leaders appointed to the surperme court, bring direction back to leardership and get the economy going.  			she is not trustworthy or honest.  	his leadership and he is not a politician.  			2.0
34	300072	69.0	0.0	3	4.0	3.0	0.0	3.0	7.0	7.0	2.5	7.0		no intergrity, [redacted food production company] got a tax breakk, pay for play.  sold 20 percet of our land uranian to stock pile.   destroyed emails , federal records which is a felony, and if had pneumonia why visits grandkids instead of hospital.  	the wall, controll immigration, 62 percent of immigrants receive goverment aid.  honest and successful.  		take care of their own, have a job for life.  judges are soft on crime, give convicted felones soft punishments.  	don't believe in the work ethics, want people to depend on the democratics for free food , phones, education, housing.  	strong defense.  legal citizenship, schoolchoice.  	push over for the president and and give democratic party what ever they want.  	don't believe in the work ethics, want people to depend on the democratics for free food , phones, education, housing.  	strong defense.  legal citizenship, schoolchoice.  	push over for the president and and give democratic party what ever they want.  		no intergrity, [redacted food production company] got a tax breakk, pay for play.  sold 20 percet of our land uranian to stock pile.   destroyed emails , federal records which is a felony, and if had pneumonia why visits grandkids instead of hospital.  	the wall, controll immigration, 62 percent of immigrants receive goverment aid.  honest and successful.  		take care of their own, have a job for life.  judges are soft on crime, give convicted felones soft punishments.  	1.0
35	300073	41.0	1.0	3	5.0	0.0	0.0	7.0	7.0	6.5	4.0	5.5		it's simply what i've been told about her deceitfulness.  				they seem to be more greedy.  	i'm more conservative, so the fact that they're more conservative.  		they seem to be more greedy.  	i'm more conservative, so the fact that they're more conservative.  			it's simply what i've been told about her deceitfulness.  				2.0
36	300082	67.0	0.0	3	1.0	2.0	0.0	3.0	4.0	3.5	3.0	4.5	good experience.  not particualy	question of trustworthness		con man.  	more liberal on social programs.  	all politicans		split in the republican party and concerned about their physical policies with tea party	all politicans		split in the republican party and concerned about their physical policies with tea party	good experience.  not particualy	question of trustworthness		con man.  	more liberal on social programs.  	0.0
37	300085	59.0	1.0	1	2.0		0.0							releasing the classified information, i don't trust her.  i had seen her speaking about i don't remember which county, she was expecting them to treat them very well, but when she got there there were guns going off and when i saw it it looked fine to me so i think she is not truthful.  by telling the truth is really important for all the citizens of the united states that we are voting for president.  	i believe his immagration, it makes sense.  the you know needing to check people who are coming into this country.  they need to be checked out relly well.  and also the gun control.   they need to really check that out, you know, investigate it.  they really need to thouroughly check and find out about how they feel about the united states of america.   wondering why people go back and forth with all the terrorism now.  he made some good points.  	he was for building a wall but then i heard he was bringing in workers from other countries, at a lower wage instead of hiring americans.   lower wage workers at his resorts.  to me if you don't want illegal immegrants to come here, then why are you hiring them.  he wants cheap labor.  he doesn't want to pay a fair wage.  	i have always thought that their ideas are better than republican.  it just seems like the democrats are more for the people that the republicans do.  i mean the citizens of the unites states.  								releasing the classified information, i don't trust her.  i had seen her speaking about i don't remember which county, she was expecting them to treat them very well, but when she got there there were guns going off and when i saw it it looked fine to me so i think she is not truthful.  by telling the truth is really important for all the citizens of the united states that we are voting for president.  	i believe his immagration, it makes sense.  the you know needing to check people who are coming into this country.  they need to be checked out relly well.  and also the gun control.   they need to really check that out, you know, investigate it.  they really need to thouroughly check and find out about how they feel about the united states of america.   wondering why people go back and forth with all the terrorism now.  he made some good points.  	he was for building a wall but then i heard he was bringing in workers from other countries, at a lower wage instead of hiring americans.   lower wage workers at his resorts.  to me if you don't want illegal immegrants to come here, then why are you hiring them.  he wants cheap labor.  he doesn't want to pay a fair wage.  	i have always thought that their ideas are better than republican.  it just seems like the democrats are more for the people that the republicans do.  i mean the citizens of the unites states.  	1.0
38	300092	54.0	0.0	2	6.0	3.0	0.0	3.0	4.5	5.0	2.0	3.0		seems that everyone who snitches on her dies, we have had one clinton already dont need another,	he is a bussiness man aour country is ina bad way and he has business sense to pull us out of our national debt	he needs to have someone write his speeche		healthcare, foreign policies,	they are wanting to get everything back on track have a balanced budget		healthcare, foreign policies,	they are wanting to get everything back on track have a balanced budget			seems that everyone who snitches on her dies, we have had one clinton already dont need another,	he is a bussiness man aour country is ina bad way and he has business sense to pull us out of our national debt	he needs to have someone write his speeche		2.0
39	300093	48.0	0.0	1	2.0	3.0	0.0	2.5	5.0	5.0	4.5	4.0	i would love to see a woman office.  i'd like to see what she can do.  opportunities for other people. .  		he seems sincere about cleaning up our country.  all this immigration.  i just want to see my country come back to what it was.  80% of the immigrants ownung the stores.  it's not working for me. .  	he needs to change is racism.  he's kinda of racist.  it's okay.  everybody is. .  			i like bill clinton because he speaks his mind. .  			i like bill clinton because he speaks his mind. .  		i would love to see a woman office.  i'd like to see what she can do.  opportunities for other people. .  		he seems sincere about cleaning up our country.  all this immigration.  i just want to see my country come back to what it was.  80% of the immigrants ownung the stores.  it's not working for me. .  	he needs to change is racism.  he's kinda of racist.  it's okay.  everybody is. .  		1.0
40	300094	26.0	1.0	2	1.0	2.0	1.0	5.0	5.0	5.5	5.0	6.0	she seems to care a little more than donald trumpp, she has more experience.  	she don't sound believeable.  		he's racist, he has no political experience, he is rude, sexy and what he says goes against what a president should be.  	their libial and diverse, they favor the middle class.  	they sometime can be too libral		no diversity and they only favor the 1%.  	they sometime can be too libral		no diversity and they only favor the 1%.  	she seems to care a little more than donald trumpp, she has more experience.  	she don't sound believeable.  		he's racist, he has no political experience, he is rude, sexy and what he says goes against what a president should be.  	their libial and diverse, they favor the middle class.  	0.0
41	300098			1	4.0	2.0	0.0							crook from way back she bill in [redacted time details] bank stuff.  	bussimness man built mil tary up take care of vet medical ins/	they ecxplains himmself pas not much different then clitons		croupt more liberial	conservetive	not as strong as they use to be younger blood.  	croupt more liberial	conservetive	not as strong as they use to be younger blood.  		crook from way back she bill in [redacted time details] bank stuff.  	bussimness man built mil tary up take care of vet medical ins/	they ecxplains himmself pas not much different then clitons		1.0
42	300099	25.0	1.0	2	6.0	2.0	0.0	4.0	5.5	6.0	1.5	5.0		i jus don like her/ i think she is a liar.  	he is no a felon, .  										i jus don like her/ i think she is a liar.  	he is no a felon, .  			2.0
